name,url,city,title,description,duration,location
1. Ciudad Perdida,https://www.tripadvisor.co/Attraction_Review-g297484-d315403-Reviews-Ciudad_Perdida-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Ciudad Perdida,,Más de 3 horas,El Mamey Sierra Nevada Santa Marta Santa Marta Municipality 470007 Colombia
2. Playa Cristal,https://www.tripadvisor.co/Attraction_Review-g297484-d4437448-Reviews-Playa_Cristal-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Playa Cristal,,,
3. Quinta de San Pedro Alejandrino,https://www.tripadvisor.co/Attraction_Review-g297484-d315407-Reviews-Quinta_de_San_Pedro_Alejandrino-Santa_Marta_Santa_Marta_Municipality_Magdalena_Dep.html,SantaMarta,Quinta de San Pedro Alejandrino,,1-2 horas,Av. del Libertador sin numero Quinta de San Pedro Alejandrino Santa Marta Santa Marta Municipality 470001 Colombia
Ver boletos,https://www.tripadvisor.co/Attraction_Review-g297484-d315407-Reviews-Quinta_de_San_Pedro_Alejandrino-Santa_Marta_Santa_Marta_Municipality_Magdalena_Dep.html#SHOW_TICKETS,SantaMarta,Quinta de San Pedro Alejandrino,,1-2 horas,Av. del Libertador sin numero Quinta de San Pedro Alejandrino Santa Marta Santa Marta Municipality 470001 Colombia
4. Parque de Los Novios,https://www.tripadvisor.co/Attraction_Review-g297484-d2086571-Reviews-Parque_de_Los_Novios-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Parque de Los Novios,,,
5. Museo del Oro Tairona - Casa de la Aduana,https://www.tripadvisor.co/Attraction_Review-g297484-d7218677-Reviews-Museo_del_Oro_Tairona_Casa_de_la_Aduana-Santa_Marta_Santa_Marta_Municipality_Magd.html,SantaMarta,Museo del Oro Tairona - Casa de la Aduana,Una extraordinaria colección y una exposición que pone en contexto el patrimonio cultural en una hermosa casa colonial restaurada invitan a explorar el pasado y el presente de Santa Marta del departamento del Magdalena y de la Sierra Nevada de Santa Marta.,1-2 horas,Carrera 2 con Calle 14 Parque Bolivar Santa Marta Santa Marta Municipality 470004 Colombia
6. Playa Blanca,https://www.tripadvisor.co/Attraction_Review-g297484-d1985839-Reviews-Playa_Blanca-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Playa Blanca,,,
7. Bahía Concha,https://www.tripadvisor.co/Attraction_Review-g297484-d5504510-Reviews-Bahia_Concha-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Bahía Concha,,,
8. Cascadas de Quebrada Valencia,https://www.tripadvisor.co/Attraction_Review-g297484-d6823047-Reviews-Valencia_Brook_s_Waterfalls-Santa_Marta_Santa_Marta_Municipality_Magdalena_Depart.html,SantaMarta,Cascadas de Quebrada Valencia,,,
9. Catedral de Santa Marta,https://www.tripadvisor.co/Attraction_Review-g297484-d6501847-Reviews-Catedral_de_Santa_Marta-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Catedral de Santa Marta,,,Carrera 17 14 Santa Marta Santa Marta Municipality 470004 Colombia
10. Rio Don Diego,https://www.tripadvisor.co/Attraction_Review-g297484-d7265582-Reviews-Rio_Don_Diego-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Rio Don Diego,,,
11. Acuario Mundo Marino,https://www.tripadvisor.co/Attraction_Review-g297484-d4474245-Reviews-Acuario_Mundo_Marino-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Acuario Mundo Marino,Acuario Mundo Marino cuenta con la exhibición de mas de 276 especies marinas entre ellas tiburones rayas caballitos de mar estrellas de mar pulpos entre otras. El recorrido en el acuario es totalmente guiado y dura aproximadamente 45 minutos. Lunes-miercoles-viernes a las 4:00pm: Alimentación de tiburones y peces. ¡Te Esperamos!,< 1 hora,Carrera 2 # 11-68 El Rodadero Santa Marta Santa Marta Municipality 470001 Colombia
12. Ensenada de Chengue,https://www.tripadvisor.co/Attraction_Review-g297484-d3432714-Reviews-Ensenada_de_Chengue-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Ensenada de Chengue,,,
13. Centro Comercial Zazué Plaza,https://www.tripadvisor.co/Attraction_Review-g297484-d12172399-Reviews-Centro_Comercial_Zazue_Plaza-Santa_Marta_Santa_Marta_Municipality_Magdalena_Depa.html,SantaMarta,Centro Comercial Zazué Plaza,,1-2 horas,Carrera 7 116A - 94 Sector de Bello Horizonte Santa Marta Santa Marta Municipality 470004 Colombia
14. Buritaca,https://www.tripadvisor.co/Attraction_Review-g297484-d9811597-Reviews-Buritaca-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Buritaca,,2-3 horas,
15. Nabusimake,https://www.tripadvisor.co/Attraction_Review-g297484-d3595743-Reviews-Nabusimake-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Nabusimake,,,calle 17 No. 8 14 Santa Marta Santa Marta Municipality 00001 Colombia
16. Centro Historico de Santa Marta,https://www.tripadvisor.co/Attraction_Review-g297484-d10332922-Reviews-Centro_Historico_de_Santa_Marta-Santa_Marta_Santa_Marta_Municipality_Magdalena_D.html,SantaMarta,Centro Historico de Santa Marta,,2-3 horas,
17. Playa Bello Horizonte,https://www.tripadvisor.co/Attraction_Review-g297484-d13507501-Reviews-Playa_Bello_Horizonte-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Playa Bello Horizonte,,,
18. Quebrada Valencia,https://www.tripadvisor.co/Attraction_Review-g297484-d4154047-Reviews-Quebrada_Valencia-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Quebrada Valencia,,,
19. Paseo El Camellón,https://www.tripadvisor.co/Attraction_Review-g297484-d7728916-Reviews-Paseo_El_Camellon-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Paseo El Camellón,,,
20. Playa Neguanje,https://www.tripadvisor.co/Attraction_Review-g297484-d9986817-Reviews-Playa_Neguanje-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Playa Neguanje,,Más de 3 horas,Playa de las 7 Olas Via Ingreso Parque Tairona Parque Nacional Natural Tayrona Santa Marta Santa Marta Municipality 470007 Colombia
21. Artesanías Santiago,https://www.tripadvisor.co/Attraction_Review-g297484-d26136948-Reviews-Artesanias_Santiago-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Artesanías Santiago,,,
22. Rodadero Playa Salguero,https://www.tripadvisor.co/Attraction_Review-g297484-d8403765-Reviews-Playa_Salguero-Santa_Marta_Santa_Marta_Municipality_Magdalena_Department.html,SantaMarta,Rodadero Playa Salguero,,2-3 horas,
