name,url,city,title,description,duration,location
1. Gran Malecón,https://www.tripadvisor.co/Attraction_Review-g297473-d12785540-Reviews-Gran_Malecon-Barranquilla_Atlantico_Department.html,Atlantico,Gran Malecón,Malecón ubicado sobre ribera del río Magdalena con hermosos paisajes del río y el Vía Parque Isla Salamanca. Es el espacio ideal para las familias que buscan disfrutar de una experiencia al aire libre y en contacto directo con las riquezas naturales del entorno. Incluye corredor verde parque para niños ciclo rutas y una variada oferta gastronómica.,Más de 3 horas,Avenida Gran Malecón Barranquilla 080001 Colombia
2. Centro Comercial Buenavista,https://www.tripadvisor.co/Attraction_Review-g297473-d6952309-Reviews-Centro_Comercial_Buenavista-Barranquilla_Atlantico_Department.html,Atlantico,Centro Comercial Buenavista,Centro Comercial Buenavista Barranquilla para disfrutar de las mejores marcas restaurantes diversión y entretenimiento de la ciudad de Barranquilla. El Caribe hoy tiene una nueva experiencia en compras y diversión gracias a la marca BUENAVISTA la más exclusiva red de centros comerciales con presencia en Barranquilla Santa Marta y Montería.,Sugiere ediciones para mejorar lo que mostramos.Mejorar este perfil,
3. Zoológico De Barranquilla,https://www.tripadvisor.co/Attraction_Review-g297473-d2390415-Reviews-Zoologico_de_Barranquilla-Barranquilla_Atlantico_Department.html,Atlantico,Zoológico De Barranquilla,Único zoológico en la región Caribe colombiana promovemos la cultura de la conservación a través del cuidado a más de 600 animales de Colombia y el mundo.,2-3 horas,Calle 77 68-40 Barranquilla 080014 Colombia
4. Catedral Metropolitana María Reina de Barranquilla,https://www.tripadvisor.co/Attraction_Review-g297473-d3223708-Reviews-Catedral_Metropolitana_Maria_Reina_de_Barranquilla-Barranquilla_Atlantico_Departm.html,Atlantico,Catedral Metropolitana María Reina de Barranquilla,Es la iglesia más representativa de Barranquilla uno de los estandartes de la Fé cristiana. La obra maestra consta de varios elementos extraodinarios que se consideran de gran atractivo por si solos: la gran obra escultural del maestro Rodrigo Arenas Betancourt un momumento de 16 tonelas en homenaje a Cristo Liberador Latinoamericano; los dos grandes mosaicos a San José Patrono de la Arquidiócesis de Barranquilla y a María Reina titular de la Catedral metropolitana; los gigantescos vitrales fiel representación de la creación y los sacramentos de la iglesia cátolica y el altar principal recubierto en la parte posterior con la representación del universo liberado por cristo: el hombre la naturaleza los astros y la palabra de Dios.,Sugiere ediciones para mejorar lo que mostramos.Mejorar este perfil,
5. Viva Centro Comercial,https://www.tripadvisor.co/Attraction_Review-g297473-d8599579-Reviews-Viva_Centro_Comercial-Barranquilla_Atlantico_Department.html,Atlantico,Viva Centro Comercial,,,Coronado Ferry Landing Barranquilla 080020 Colombia
6. Monumento Ventana Al Mundo,https://www.tripadvisor.co/Attraction_Review-g297473-d15606617-Reviews-Monumento_Ventana_Al_Mundo-Barranquilla_Atlantico_Department.html,Atlantico,Monumento Ventana Al Mundo,,,
7. Carnaval de Barranquilla,https://www.tripadvisor.co/Attraction_Review-g297473-d6351019-Reviews-Carnaval_de_Barranquilla-Barranquilla_Atlantico_Department.html,Atlantico,Carnaval de Barranquilla,Evite Río el mejor carnaval está en Barranquilla. Comenzando el sábado previo al Miércoles de Ceniza el Carnaval de Barranquilla es una de las celebraciones más grandes de Colombia y uno de los carnavales (festival religioso) más grandes del mundo. Presentando música en vivo montones de bailes y un desfile inmenso lleno de parranderos disfrazados; el Carnaval de Barranquilla paraliza la ciudad por cuatro días inolvidables. Las festividades comienzan con La Batalla de las Flores un desfile de carrozas complejas y continua con más días de baile disfraces y celebraciones.,Más de 3 horas,
8. Hotel El Prado,https://www.tripadvisor.co/Attraction_Review-g297473-d8670362-Reviews-Hotel_El_Prado-Barranquilla_Atlantico_Department.html,Atlantico,Hotel El Prado,,,Carrera 54 70 10 Barranquilla 080002 Colombia
9. Castillo de Salgar,https://www.tripadvisor.co/Attraction_Review-g4454796-d3239343-Reviews-Castillo_de_Salgar-Puerto_Colombia_Atlantico_Department.html,Atlantico,Castillo de Salgar,,2-3 horas,
10. Bocas de Cenizas,https://www.tripadvisor.co/Attraction_Review-g297473-d3624580-Reviews-Bocas_de_Cenizas-Barranquilla_Atlantico_Department.html,Atlantico,Bocas de Cenizas,,,Desirée Geeraertstraat Barranquilla 080001 Colombia
11. Museo Mapuka,https://www.tripadvisor.co/Attraction_Review-g297473-d14210709-Reviews-Museo_Mapuka-Barranquilla_Atlantico_Department.html,Atlantico,Museo Mapuka,MAPUKA es el Museo Arqueológico de los Pueblos Karib. Tiene como propósito contribuir al reconocimiento de las identidades del Caribe colombiano desde la apreciación y la activación de la memoria de los procesos culturales que se vivieron en este territorio durante los periodos prehispánico y colonial hasta la primera mitad del siglo XX a través de la colección arqueológica.,1-2 horas,
12. Iglesia de la Inmaculada Concepción,https://www.tripadvisor.co/Attraction_Review-g297473-d5999862-Reviews-Iglesia_de_la_Inmaculada_Concepcion-Barranquilla_Atlantico_Department.html,Atlantico,Iglesia de la Inmaculada Concepción,,,
13. El Solar de Mao,https://www.tripadvisor.co/Attraction_Review-g4053736-d8727553-Reviews-El_Solar_de_Mao-Galapa_Atlantico_Department.html,Atlantico,El Solar de Mao,El Solar de Mao es la primera granja Eco Campestre del Atlántico para la interacción natural y el contacto vivencial con flora y fauna. Un espacio turístico para toda la familia. A través de sus espacios animales bosques árboles tenemos la posibilidad de descubrir y aprender cientos de procesos para re conectar nuestra esencia con la naturaleza. Disfruta de un espacio al aire libre recorrido interactivo restaurante campestre interacción animal y mariposario.,Más de 3 horas,
14. Antiguo Edificio de la Aduana,https://www.tripadvisor.co/Attraction_Review-g297473-d3624532-Reviews-Antiguo_Edificio_de_la_Aduana-Barranquilla_Atlantico_Department.html,Atlantico,Antiguo Edificio de la Aduana,,,Vía 40 #36 - 135 Barranquilla 080003 Colombia
15. Malecon Leon Caridi,https://www.tripadvisor.co/Attraction_Review-g297473-d4751885-Reviews-Malecon_Leon_Caridi-Barranquilla_Atlantico_Department.html,Atlantico,Malecon Leon Caridi,,,
16. Plaza de la Paz,https://www.tripadvisor.co/Attraction_Review-g297473-d5043118-Reviews-Plaza_de_la_Paz-Barranquilla_Atlantico_Department.html,Atlantico,Plaza de la Paz,,,Calle 53 46 07 Barranquilla 423423423 Colombia
17. Parroquia de San Nicolás de Tolentino,https://www.tripadvisor.co/Attraction_Review-g297473-d4084717-Reviews-Parroquia_de_San_Nicolas_de_Tolentino-Barranquilla_Atlantico_Department.html,Atlantico,Parroquia de San Nicolás de Tolentino,,,
18. Estadio Metropolitano Roberto Melendez,https://www.tripadvisor.co/Attraction_Review-g297473-d4783135-Reviews-Estadio_Metropolitano_Roberto_Melendez-Barranquilla_Atlantico_Department.html,Atlantico,Estadio Metropolitano Roberto Melendez,,,
19. Inmueble Patrimonial Julio Flórez,https://www.tripadvisor.co/Attraction_Review-g2716332-d2695327-Reviews-Inmueble_Patrimonial_Julio_Florez-Usiacuri_Atlantico_Department.html,Atlantico,Inmueble Patrimonial Julio Flórez,Una cómoda y fresca vivienda que hoy funciona como museo y donde fueron enterrados los restos del Poeta. aún conserva los detalles arquitectónicos de la época como la frescura del techo de paja los muebles originales de aquellos tiempos y un ambiente romántico y melancólico que el Poeta le imprimió a sus cimientos.,< 1 hora,Transversal 20 No 18-40 Usiacurí 082060 Colombia
20. Centro de Convenciones Puerta de Oro,https://www.tripadvisor.co/Attraction_Review-g297473-d8599578-Reviews-Centro_de_Convenciones_Puerta_de_Oro-Barranquilla_Atlantico_Department.html,Atlantico,Centro de Convenciones Puerta de Oro,,,
21. Parque Isla Salamanca,https://www.tripadvisor.co/Attraction_Review-g297473-d3624562-Reviews-Parque_Isla_Salamanca-Barranquilla_Atlantico_Department.html,Atlantico,Parque Isla Salamanca,,,
22. El Prado,https://www.tripadvisor.co/Attraction_Review-g297473-d8858146-Reviews-El_Prado-Barranquilla_Atlantico_Department.html,Atlantico,El Prado,,,
