name,url,city,title,description,duration,location
1. Museo del Oro,https://www.tripadvisor.co/Attraction_Review-g294074-d532210-Reviews-Gold_Museum_Museo_del_Oro-Bogota.html,Bogota,Museo del Oro,El Museo del Oro preserva y exhibe la más grande colección de orfebrería prehispánica del mundo y es un símbolo de identidad de los colombianos. Su exhibición en Bogotá fue renovada totalmente en 2008 y es uno de los lugares que los bogotanos los colombianos y los extranjeros no deben dejar de visitar en Bogotá.,2-3 horas,Carrera 6 No.15-88 Bogotá 110321 Colombia
2. Museo Botero,https://www.tripadvisor.co/Attraction_Review-g294074-d532215-Reviews-Museo_Botero_del_Banco_de_la_Republica-Bogota.html,Bogota,Museo Botero,,2-3 horas,Calle 11 No. 4-41 Bogotá 250051 Colombia
3. Cerro de Monserrate,https://www.tripadvisor.co/Attraction_Review-g294074-d552767-Reviews-Mount_Monserrate-Bogota.html,Bogota,Cerro de Monserrate,,2-3 horas,
4. Barrio La Candelaria,https://www.tripadvisor.co/Attraction_Review-g294074-d550644-Reviews-Barrio_La_Candelaria-Bogota.html,Bogota,Barrio La Candelaria,Te acompañamos en tu recorrido por La Candelaria en español en otros idiomas llamar. Consúltenos para viajes vivienda e inversiones ne la zona,Más de 3 horas,Calle 10 # 0 15 Bogota Colombia Llegando por avenida circunvalar preferiblemente. Bogotá 111711 Colombia
5. Jardín Botánico de Bogotá Jose Celestino Mutis,https://www.tripadvisor.co/Attraction_Review-g294074-d2556751-Reviews-Jardin_Botanico_de_Bogota_Jose_Celestino_Mutis-Bogota.html,Bogota,Jardín Botánico de Bogotá Jose Celestino Mutis,El Jardín Botánico de Bogotá José Celestino Mutis es centro de investigación distrital con énfasis en ecosistemas alto andinos y de páramo responsable de la gestión integral de coberturas verdes en la Ciudad del desarrollo de programas de educación ambiental y de la conservación y mantenimiento de colecciones vivas de flora para su apropiación y disfrute por parte de los ciudadanos.,Más de 3 horas,
6. Museo Nacional de Colombia,https://www.tripadvisor.co/Attraction_Review-g294074-d531644-Reviews-National_Museum_of_Colombia-Bogota.html,Bogota,Museo Nacional de Colombia,,2-3 horas,Carrera 7 N. 28-66 Bogotá 110311 Colombia
7. Parque 93,https://www.tripadvisor.co/Attraction_Review-g294074-d590772-Reviews-Parque_93-Bogota.html,Bogota,Parque 93,,,Carrera 11a 93a 46 Of. 301 Bogotá 110221 Colombia
8. Parque Central Simon Bolivar,https://www.tripadvisor.co/Attraction_Review-g294074-d590760-Reviews-Parque_Metropolitano_Simon_Bolivar-Bogota.html,Bogota,Parque Central Simon Bolivar,,1-2 horas,
9. Plaza de Bolívar de Bogotá,https://www.tripadvisor.co/Attraction_Review-g294074-d532212-Reviews-Plaza_de_Bolivar_de_Bogota-Bogota.html,Bogota,Plaza de Bolívar de Bogotá,,1-2 horas,Plaza Álvarez Bogotá 111711 Colombia
10. Ciclovía de Bogotá,https://www.tripadvisor.co/Attraction_Review-g294074-d1497645-Reviews-Ciclovia_de_Bogota-Bogota.html,Bogota,Ciclovía de Bogotá,,,
11. Biblioteca Virgilio,https://www.tripadvisor.co/Attraction_Review-g294074-d4170572-Reviews-Biblioteca_Virgilio-Bogota.html,Bogota,Biblioteca Virgilio,,,
12. Casa Museo Quinta de Bolivar,https://www.tripadvisor.co/Attraction_Review-g294074-d532209-Reviews-Casa_Museo_Quinta_de_Bolivar-Bogota.html,Bogota,Casa Museo Quinta de Bolivar,,,Cl 20 No. 2-91 este Santafé de Bogotá Bogotá 111711 Colombia
13. Museo Santa Clara,https://www.tripadvisor.co/Attraction_Review-g294074-d532217-Reviews-Museo_Santa_Clara-Bogota.html,Bogota,Museo Santa Clara,Visitar el Museo Santa Clara de Bogotá es sumergirse en la experiencia de la representación barroca de los siglos XVII y XVIII,1-2 horas,
14. Plaza de Mercado de Paloquemao,https://www.tripadvisor.co/Attraction_Review-g294074-d2536796-Reviews-Plaza_de_Mercado_de_Paloquemao-Bogota.html,Bogota,Plaza de Mercado de Paloquemao,,1-2 horas,Calle 19 # 25-04 Bogotá 111611 Colombia
15. Teatro Mayor Julio Mario Santo Domingo,https://www.tripadvisor.co/Attraction_Review-g294074-d4050451-Reviews-Teatro_Mayor_Julio_Mario_Santo_Domingo-Bogota.html,Bogota,Teatro Mayor Julio Mario Santo Domingo,Es biblioteca sala de exposición y tiene dos teatros para conciertos y eventos,Sugiere ediciones para mejorar lo que mostramos.Mejorar este perfil,
16. Mercado de las Pulgas de Usaquén,https://www.tripadvisor.co/Attraction_Review-g294074-d1382992-Reviews-Mercado_de_las_Pulgas_de_Usaquen-Bogota.html,Bogota,Mercado de las Pulgas de Usaquén,,1-2 horas,Carrera 5 # 120A-07 Usaquén Bogotá 110111 Colombia
17. Centro Comercial Andino,https://www.tripadvisor.co/Attraction_Review-g294074-d315690-Reviews-Centro_Comercial_Andino-Bogota.html,Bogota,Centro Comercial Andino,El Centro Comercial Andino es el corazón de una de las zonas preferidas por los bogotanos y extranjeros y es reconocido como el Centro Comercial más exclusivo de la ciudad. La privilegiada ubicación ambiente comodidad seguridad excelente servicio y amplia gama de tiendas reconocidas a nivel nacional e internacional lo convierten en la mejor opción para sus compras y entretenimiento.Cuenta con 230 locales comerciales distribuidos en 4 niveles 700 parqueaderos ubicados en dos sótanos con valet parking y servicios exclusivos para niños y adultos.,2-3 horas,Carrera 11 Nº 82-71 Bogotá 110221 Colombia
18. Zona G Bogota,https://www.tripadvisor.co/Attraction_Review-g294074-d8004615-Reviews-Zona_G_Bogota-Bogota.html,Bogota,Zona G Bogota,,Más de 3 horas,
19. Parque de Usaquen,https://www.tripadvisor.co/Attraction_Review-g294074-d7729122-Reviews-Parque_de_Usaquen-Bogota.html,Bogota,Parque de Usaquen,,< 1 hora,
20. Biblioteca Luis Angel Arango,https://www.tripadvisor.co/Attraction_Review-g294074-d532180-Reviews-Luis_Angel_Arango_Library-Bogota.html,Bogota,Biblioteca Luis Angel Arango,,,
21. Iglesia de San Francisco,https://www.tripadvisor.co/Attraction_Review-g294074-d2556754-Reviews-Iglesia_de_San_Francisco-Bogota.html,Bogota,Iglesia de San Francisco,,,
22. Catedral Primada de Bogota,https://www.tripadvisor.co/Attraction_Review-g294074-d592932-Reviews-Catedral_Primada_de_Bogota-Bogota.html,Bogota,Catedral Primada de Bogota,,< 1 hora,Carrera 7 10 80 Bogotá 111711 Colombia
23. Casa Libreria Wilborada 1047,https://www.tripadvisor.co/Attraction_Review-g294074-d7195211-Reviews-Casa_Libreria_Wilborada_1047-Bogota.html,Bogota,Casa Libreria Wilborada 1047,Casa-librería al estilo europeo para disfrutar de acogedores espacios grandes bibliotecas en madera y cómodos muebles que invitan a la lectura a la tertulia o a tomarse un café. Ubicada en una encantadora casa de estilo inglés y de conservación arquitectónica sus 300 m2 atesoran una exquisita selección de libros que van desde la literatura clásica a la contemporánea incluyendo poesía fotografía gastronomía novela gráfica y ensayo entre otros. Cuenta con libros en inglés libreros bilingües y ofrece una variada programación cultural para niños y adultos. Un lugar para activar el intelecto la imaginación y los sentidos.,Sugiere ediciones para mejorar lo que mostramos.Mejorar este perfil,Calle 71 # 10-47 Int 4 Bogotá 110231 Colombia
24. Museo de Arte del Banco de la Republica,https://www.tripadvisor.co/Attraction_Review-g294074-d532183-Reviews-Museo_de_Arte_del_Banco_de_la_Republica-Bogota.html,Bogota,Museo de Arte del Banco de la Republica,,,
25. Casa de Moneda del Banco de la República,https://www.tripadvisor.co/Attraction_Review-g294074-d532182-Reviews-Casa_de_Moneda_Coleccion_Numismatica_del_Banco_de_la_Republica-Bogota.html,Bogota,Casa de Moneda del Banco de la República,,< 1 hora,Calle 11 4 93 Bogotá 111711 Colombia
