,name,url,city,title,description,duration,location
0,1. Parque Nacional de Chicamocha,https://www.tripadvisor.co/Attraction_Review-g297474-d677228-Reviews-Parque_Nacional_de_Chicamocha-Bucaramanga_Santander_Department.html,,,,,
1,2. Panachi,https://www.tripadvisor.co/Attraction_Review-g297474-d3952314-Reviews-Panachi-Bucaramanga_Santander_Department.html,,,,,
2,3. La Casa del Libro Total,https://www.tripadvisor.co/Attraction_Review-g297474-d4137568-Reviews-La_Casa_del_Libro_Total-Bucaramanga_Santander_Department.html,Bucaramanga,La Casa del Libro Total,La Casa del Libro Total  es una casa colonial en el centro deBucaramanga que se ha restaurado y convertido en un centro culturaly de tecnología. Es el lugar donde se crea EL El Libro Total unabiblioteca digital gratuita con más de 45.000 títulos entre literaturaimágenes y música cuya misión es recuperar el patrimonio culturalde la humanidad hispanohablante. Es el proyecto deresponsabilidad social de la firma Sistemas y Computadores S.A. y enella se realizan eventos culturales diarios de entrada gratuita ymuestras artísticas sin ánimo de lucro.,1-2 horas,Calle 35 # 9-81 Bucaramanga 680003 Colombia
3,4. Catedral de La Sagrada Familia,https://www.tripadvisor.co/Attraction_Review-g297474-d6959571-Reviews-Cathedral_of_the_Holy_Family-Bucaramanga_Santander_Department.html,,,,,
4,5. Puente del Bicentenario,https://www.tripadvisor.co/Attraction_Review-g297474-d9873764-Reviews-Puente_del_Bicentenario-Bucaramanga_Santander_Department.html,,,,,
5,6. Universidad Industrial de Santander,https://www.tripadvisor.co/Attraction_Review-g297474-d7726956-Reviews-Universidad_Industrial_de_Santander-Bucaramanga_Santander_Department.html,,,,,
6,7. Centro Comercial Cacique,https://www.tripadvisor.co/Attraction_Review-g297474-d10795653-Reviews-Centro_Comercial_Cacique-Bucaramanga_Santander_Department.html,,Centro Comercial Cacique,,,
7,8. Parque del Agua,https://www.tripadvisor.co/Attraction_Review-g297474-d4884498-Reviews-Parque_del_Agua-Bucaramanga_Santander_Department.html,,,,,
8,9. Iglesia de San Pedro Claver,https://www.tripadvisor.co/Attraction_Review-g297474-d8671657-Reviews-Iglesia_de_San_Pedro_Claver-Bucaramanga_Santander_Department.html,,,,,
9,10. San Pio Park,https://www.tripadvisor.co/Attraction_Review-g297474-d8863572-Reviews-San_Pio_Park-Bucaramanga_Santander_Department.html,,,,,
10,11. Capilla de los Dolores,https://www.tripadvisor.co/Attraction_Review-g297474-d7309530-Reviews-Capilla_de_los_Dolores-Bucaramanga_Santander_Department.html,,,,,
11,12. Megamall Centro Comercial,https://www.tripadvisor.co/Attraction_Review-g297474-d7824844-Reviews-Megamall_Centro_Comercial-Bucaramanga_Santander_Department.html,,,,,
12,13. Iglesia San Laureano,https://www.tripadvisor.co/Attraction_Review-g297474-d7723546-Reviews-Iglesia_San_Laureano-Bucaramanga_Santander_Department.html,,,,,
13,14. Iglesia San Pio,https://www.tripadvisor.co/Attraction_Review-g297474-d7910651-Reviews-Iglesia_San_Pio-Bucaramanga_Santander_Department.html,,,,,
14,15. Club del Comercio,https://www.tripadvisor.co/Attraction_Review-g297474-d10783881-Reviews-Club_del_Comercio-Bucaramanga_Santander_Department.html,,Club del Comercio,,,
15,16. Palacio de Justicia,https://www.tripadvisor.co/Attraction_Review-g297474-d7723816-Reviews-Palacio_de_Justicia-Bucaramanga_Santander_Department.html,,,,,
16,17. Cacique el Centro Comercial,https://www.tripadvisor.co/Attraction_Review-g297474-d11806932-Reviews-Cacique_el_Centro_Comercial-Bucaramanga_Santander_Department.html,,,,,
17,18. Teatro Corfescu,https://www.tripadvisor.co/Attraction_Review-g297474-d7726950-Reviews-Teatro_Corfescu-Bucaramanga_Santander_Department.html,,,,,
18,19. Parque Mejoras Publicas,https://www.tripadvisor.co/Attraction_Review-g297474-d8865597-Reviews-Parque_Mejoras_Publicas-Bucaramanga_Santander_Department.html,,,,,
19,20. Cigarras Park,https://www.tripadvisor.co/Attraction_Review-g297474-d7309532-Reviews-Cigarras_Park-Bucaramanga_Santander_Department.html,,,,,
20,21. Centro Cultural del Oriente,https://www.tripadvisor.co/Attraction_Review-g297474-d8677224-Reviews-Centro_Cultural_del_Oriente-Bucaramanga_Santander_Department.html,,,,,
21,22. Museo Casa de Bolivar,https://www.tripadvisor.co/Attraction_Review-g297474-d7723813-Reviews-Museo_Casa_de_Bolivar-Bucaramanga_Santander_Department.html,,,,,
22,23. Parque García Rovira,https://www.tripadvisor.co/Attraction_Review-g297474-d8741712-Reviews-Parque_Garcia_Rovira-Bucaramanga_Santander_Department.html,,,,,
23,24. Parroquia Divino Niño,https://www.tripadvisor.co/Attraction_Review-g297474-d7910396-Reviews-Parroquia_Divino_Nino-Bucaramanga_Santander_Department.html,,,,,
