name,url,city,title,description,duration,location
1. Parque Conscientia Universalis,https://www.tripadvisor.co/Attraction_Review-g676524-d12900434-Reviews-Parque_Conscientia_Universalis-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Parque Conscientia Universalis,,Más de 3 horas,Villa De Leyva-Gachantiva vereda Sabana Baja finca el Castillo junto al parque el Mayoral. Villa de Leyva 154007 Colombia
2. Plaza Mayor,https://www.tripadvisor.co/Attraction_Review-g676524-d8741747-Reviews-Plaza_Mayor-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Plaza Mayor,,,
3. Casa Terracota,https://www.tripadvisor.co/Attraction_Review-g676524-d3432743-Reviews-Casa_Terracota-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Casa Terracota,Casa habitable hecha completamente de barro. Una joya de arquitectura. Unica en el mundo. El arquitecto ha ganado varios premios por esta creacion que lleva 13 años en construccion y la siguen mejorando.,1-2 horas,
4. Viñedo Ain Karim,https://www.tripadvisor.co/Attraction_Review-g676524-d5888335-Reviews-Vinedo_Ain_Karim-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Viñedo Ain Karim,,1-2 horas,
5. Pueblito Boyacense,https://www.tripadvisor.co/Attraction_Review-g317035-d5984782-Reviews-Pueblito_Boyacense-Boyaca_Boyaca_Department.html,Bucaramanga,Pueblito Boyacense,,1-2 horas,
6. Museo El Fósil,https://www.tripadvisor.co/Attraction_Review-g676524-d2412924-Reviews-Museo_El_Fosil-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Museo El Fósil,El Museo el Fósil es un museo comunitario que exhibe in situ el espécimen fósil HOLOTIPO KRONOSAURUS BOYACENSIS descrito por OLIVER HAMPE el año 1992 este animal un PLIOSAUROIDAE del periodo Cretácico Temprano con 115 millones de años de antigüedad era un reptil marino predador de gran envergadura cuello grueso y corto cuatro poderosas aletas cola corta y musculada respiraba por medio de pulmones y daba a luz a las crías directamente en el agua. También exhibimos el HOLOTIPO PADILLASAURUS LEIVANENSIS (Parra et. al. 2015) un BRACHIOSAURIDAE originario del periodo Cretácico Temprano con 130 millones de años de antiguedad es un DINOSAURIA de gran talla con mas de 12 mts de alto y 17 mts de largo único en su tipo. Nuestro museo exhibe además una hermosa cabeza de KRONOSAURUS así como una interesante extremidad de otro KRONOSAURUS así como vertebras de este animal y fragmentos de extremidades y del hocico de ese poderoso reptil marino... En nuestra colección contamos con vestigios de ICHTHYOSAURIA reptil marino que respiraba por medio de pulmones y daba luz a las crias directamente en el agua con forma de tabaco grandes ojos y una poderosa aleta caudal un ese animal era un cazador de aguas profundas. También exhibimos una considerable cantidad de Ammonoideas llamada comunmente Amonites nuestra colección de Amonites nos permite observar los procesos de cambio biológico en el tiempo o lo que es lo mismo nos permite observar la evolución asi como los diferentes tipos de materiales rocosos que conforman los fósiles de la región. Nuestra pequeña pero importante colección de bivalvias peces cangrejos y tortugas nos permiten observar dinámicas ecológicas diversas así como diversos nichos ecológicos desde animales bentónicos como algunas bivalvias pasando por animales de mar abierto como los ICHTHYOSAURIA y los peces abarcando animales metropolitanos como los PLIOSAUROIDAE hasta alcanzar cercanía a las costas donde animales como ammonites cangrejos y tortugas dominaban la escena. Así mismo nuestro museo exhibe vestigios petrificados de plantas del periodo cretácico contamos con evidencias de raices tallos hojas y semillas de plantas GYMNOSPERMAE. Por último pero no por ello menos importante exhibimos algunos vestigios fósiles de mamíferos de la ERA CENOZOICA a saberse MAMMUTIDAE y otros restos aun no identificados.,< 1 hora,
7. El Cocuy National Natural Park,https://www.tripadvisor.co/Attraction_Review-g6114717-d7352390-Reviews-El_Cocuy_National_Natural_Park-El_Cocuy_Boyaca_Department.html,Bucaramanga,El Cocuy National Natural Park,,,
8. Pantano de Vargas Monumento a los 14 lanceros,https://www.tripadvisor.co/Attraction_Review-g312856-d3392724-Reviews-Pantano_de_Vargas_Monumento_a_los_14_lanceros-Paipa_Boyaca_Department.html,Bucaramanga,Pantano de Vargas Monumento a los 14 lanceros,El monumento a los 14 lanceros es el monumento más grande de Colombia. Está ubicado en el Pantano de Vargas en Paipa Boyacá en el lugar en el que se llevó a cabo la penúltima batalla de la independencia de Colombia el 25 de julio de 1819 (la última se realizó en el Puente de Boyacá aproximadamente a 45 minutos de allí por lo que en esta zona se encuentran dos de los puntos más importantes de la historia de la independencia de Colombia).Representa a Juan José Rondón y sus 14 lanceros dado que fueron de gran importancia para cambiar el rumbo de la batalla a favor del ejército Patriota en la búsqueda de la independencia de Colombia. Obra realizada en 1969 por el maestro Rodrigo Arenas Betancourt al cumplirse 150 años de la independencia.,Sugiere ediciones para mejorar lo que mostramos.Mejorar este perfil,
9. Centro de Investigaciones Paleontologicas - CIP,https://www.tripadvisor.co/Attraction_Review-g676524-d4945110-Reviews-Centro_de_Investigaciones_Paleontologicas_CIP-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Centro de Investigaciones Paleontologicas - CIP,,,
10. Parque Zoológico Guátika,https://www.tripadvisor.co/Attraction_Review-g2501880-d3461041-Reviews-Biopark_Guatika-Tibasosa_Boyaca_Department.html,Bucaramanga,Parque Zoológico Guátika,Disfruta de un excelente espacio al aire libre con las mejores vistas. En nuestras 45 fanegadas podrás ver más de 500 animales la mayoría de ellos rescatados del tráfico ilegal de fauna y recibidos de circos podrás ver animales salvajes y exóticos además de conocer los animales de la granja. Una experiencia única.Trabajamos estrechamente con corporaciones ambientales así como con la policía ambiental.Si después de recorrer nuestras instalaciones para animales todavía tienes energía puedes disfrutar de nuestra área de atracciones para grandes y pequeños. Para los grandes ofrecemos 5 atracciones de aventura como buggies cabalgata guatikable (tirolínea de 500m) guatisky (péndulo extremo) y muro de escalada; para niños (menos de 1.20m) tenemos carrusel triciclos miniguatikable inflables ...Si después de un día caminando y jugando tiene hambre tenemos  restuarante con una variedad de platos a la carta en un ambiente rústico. El hotel está a su servicio también.Lo esperamos!,2-3 horas,Km. 1 - Via Las Antenas Tibasosa 152260 Colombia
11. Lago Tota,https://www.tripadvisor.co/Attraction_Review-g3347755-d8037097-Reviews-Lago_Tota-Tota_Boyaca_Department.html,Bucaramanga,Lago Tota,,,
12. Puente de Boyaca,https://www.tripadvisor.co/Attraction_Review-g317035-d2484824-Reviews-Puente_de_Boyaca-Boyaca_Boyaca_Department.html,Bucaramanga,Puente de Boyaca,,,
13. Pozos Azules,https://www.tripadvisor.co/Attraction_Review-g676524-d2412927-Reviews-Pozos_Azules-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Pozos Azules,,,
14. Páramo de Ocetá,https://www.tripadvisor.co/Attraction_Review-g7937889-d6885951-Reviews-Paramo_de_Oceta-Mongui_Boyaca_Department.html,Bucaramanga,Páramo de Ocetá,Caminata en el paramo de ocetaOcetá es considerado  uno de los paramos más bellos del mundo.Practica de senderismo - caminata ecologica para desarrollar esta actividad un guia especializado los conducira por este hemoso lugar con la posibilidad de realizarlo cualquier dia del año. Guia de la region lo conduciran por cada uno de sus atractivos y describiran en detalle cada parte de este hermoso paramo.Trekking dificultad 6/10Se recomienda ir con niños mayores a 8 añosLas caminatas en promedio duran 6 horas y dependerá de la capacidad fisica de los caminantes.El paramo de Ocetá es considerado uno de los páramos más lindos del mundo. Se encuentra ubicado a 3.800 m.s.n.m. en la parte occidental del municipio de Monguí. Iniciaremos nuestro recorrido en el parque principal de Monguí nos internaremos en la montaña para visitar la mítica piedra del Cofre que los lugareños respetan por las leyendas que allí existen pasaremos por la Cascada de Penagos la Ciudad de Piedra o Ciudad Perdida unas formaciones rocosas que evocan una ciudad construida por la naturaleza rodeada de piedras gigantescas y vegetación. Sobre los 3.800 m.s.n.m. podremos apreciar la espectacular Laguna Negra.Lo maravilloso de este sitio y que lo hace único es la formación de jardines con estas especies típicas pequeños enclaves de flora fabricas permanentes de agua y refugio de especies animales en definitiva un lugar que vale la pena conocer y conservar.. El otro atractivo de este lugar es la Ciudad de Piedra nombre que fue colocado por los campesinos a esta zona rocosa en donde por el desprendimiento de lozas de piedra horizontalmente se han separado y han formado callejones que asemejan una pequeña ciudad. Allí las paredes tienen unos 15 metros de altura y unos 12 de ancho están cubiertas de musgos verdes amarillos y rojos también se encuentra una serie de rocas por los recorridos formando pequeños jardines de micro vegetación en los cuales da gusto dejar volar la imaginación. En total el callejón tiene unos 100 metros de largo El otro elemento que hace de Ocetá un lugar bastante especial son los picos cuyas paredes exhiben estratos de roca bien definidos desde el pico central se puede observar la Laguna Negra y las cascadas que la llenan el explorador colombiano Andrés Hurtado García bautizo uno de estos picos el barco por su forma de gran navío ya que se levanta del valle en forma monumental y su trompa parece la proa y la cola la popa. Desde estas zonas altas también podemos observar a lo lejos el gran Páramo de Pisba hacia el norte. Con sus casi 4.000 msnm Ocetá posee un mágico espectáculo que a quien sorprende estando en el páramo es muy posible que lo deje maravillado y dispuesto a regresar algún día; a ratos el fantasma de la niebla confidente eterno de los 3.000 metros envuelve el entorno y genera con ayuda de los rayos del sol un espectáculo multicolor de belleza sin igual. Un llamado de la naturaleza para que la ayudemos a conservar.Fauna y flora En cuanto a fauna pueden encontrarse conejos sabaneros ranas Condor águilas guatines y el venado de cola blanca. Dentro de la flora típica que se encuentra en Ocetá encontramos los frailejones plateados los amarillos y los blancos los senecios amarillos lupinus morados y gran cantidad de musgo y líquenes adheridos a las rocas. En cuanto a flora se encuentran senecios lupinus musgos líquenes y el frailejón el cuál se encuentra en la mayor parte del páramo. El frailejón crece solo un centímetro por año y su tallo conserva agua.Recomendaciones Llevar ropa adecuada para el clima de páramo impermeable chaquetas crema o bloqueador para la cara gorros y guantes ropa de repuesto camara fotográfica. En cuanto a la alimentación es necesario llevar todos los alimentos. Si va a acampar no olvide su carpa y una buena bolsa para dormir. No olvide no deje basura y no contamine las fuentes de agua.,Más de 3 horas,
15. Monastério Del Santo Eccehomo,https://www.tripadvisor.co/Attraction_Review-g676524-d4604579-Reviews-Monasterio_Del_Santo_Eccehomo-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Monastério Del Santo Eccehomo,,1-2 horas,
16. Casa Museo Antonio Nariño,https://www.tripadvisor.co/Attraction_Review-g676524-d3240775-Reviews-Casa_Museo_Antonio_Narino-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Casa Museo Antonio Nariño,Al recorrer esta casa del siglo XVII declarada Monumento Nacional en 1961 se tiene la oportunidad de explorar las diferentes facetas de la vida de este gran hombre el espíritu de su época y conocer la arquitectura colonial. Antonio Nariño hoy es el Colombiano de todos los tiempos precursor de nuestra libertad quien estuvo desde la Insurrección Comunera hasta la creación de la República de Colombia en compañía del libertador Simón Bolívar y de Francisco Miranda. La Casa Museo Antonio Nariño del Ministerio de Cultura de Colombia es un espacio donde se promueve la historia y memoria relacionada con el prócer Antonio Nariño asumiendo como una de sus tareas principales la divulgación de los derechos del hombre por medio de servicios educativos y culturales dirigidos a los habitantes de todas las edades que residen en Villa de Leyva y a los turistas que visitan la población como exposiciones temporales una permanente con más de 150 piezas talleres conversatorios eventos etc.,< 1 hora,Carrera 9 No. 10-25 Villa de Leyva 154007 Colombia
17. Parque Gondava,https://www.tripadvisor.co/Attraction_Review-g676524-d3155354-Reviews-Parque_Gondava-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Parque Gondava,,,
18. Iglesia de Nuestra Señora del Rosario,https://www.tripadvisor.co/Attraction_Review-g676524-d6960203-Reviews-Iglesia_de_Nuestra_Senora_del_Rosario-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Iglesia de Nuestra Señora del Rosario,,,
19. Laguna de Iguaqué,https://www.tripadvisor.co/Attraction_Review-g676524-d4703400-Reviews-Laguna_de_Iguaque-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Laguna de Iguaqué,,,
20. Playa Blanca,https://www.tripadvisor.co/Attraction_Review-g317035-d7613213-Reviews-Playa_Blanca-Boyaca_Boyaca_Department.html,Bucaramanga,Playa Blanca,,,
21. Parque Ecologico La Periquera,https://www.tripadvisor.co/Attraction_Review-g676524-d6420695-Reviews-Parque_Ecologico_La_Periquera-Villa_de_Leyva_Boyaca_Department.html,Bucaramanga,Parque Ecologico La Periquera,,Incluye animalesObtén más información sobre el bienestar animal en el turismo,
