name,url,city,title,description,duration,location
1. Ciudad Amurallada,https://www.tripadvisor.co/Attraction_Review-g297476-d555214-Reviews-Walled_City_of_Cartagena-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Ciudad Amurallada,La Ciudad Amurallada es el centro histórico de la ciudad de Cartagena de Indias y ha sido declarado tanto patrimonio nacional de Colombia como Patrimonio de la Humanidad. Aquí vivían los nobles y las personas importantes en la época de la Colonia.Al recorrer la Ciudad Amurallada podemos encontrar el Palacio de la Inquisición el Museo del Oro Zenú y elMuseo de Arte Moderno. También la Plaza de los Coches que presenta un recorrido por las casonas coloniales y por la estatua de Pedro de Heredia la Iglesia y el Convento de San Pedro de Claver y la Alcaldía Mayor entre otros edificios históricos perfectamente conservados de Cartagena de Indias.,Más de 3 horas,Calle 41 Cartagena 130002 Colombia
2. Castillo de San Felipe de Barajas,https://www.tripadvisor.co/Attraction_Review-g297476-d315386-Reviews-Castillo_de_San_Felipe_de_Barajas-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Castillo de San Felipe de Barajas,Fortaleza de la época colonial española construida sobre el Cerro de San Lázaro para proteger la única entrada por tierra a Cartagena de Indias.,< 1 hora,Carrera 17 Av Antonio de Arevalo Cartagena 130002 Colombia
3. Santuario de San Pedro Claver,https://www.tripadvisor.co/Attraction_Review-g297476-d647678-Reviews-Sanctuary_of_Saint_Peter_Claver-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Santuario de San Pedro Claver,Hace cuatrocientos años los jesuitas se establecieron en Cartagena y fundaron una escuela y una iglesia en el centro de la ciudad. Durante el siglo XVII un padre llamado Pedro Claver dedicó toda su vida a la protección de los esclavos africanos y se convirtió en santo 300 años después. Para mantener vivo su legado los jesuitas regresaron a la ciudad a fines del siglo XIX y comenzaron a coleccionar piezas para un museo que incluye arte caribeño precolombino religioso y africano y por supuesto la cámara y otros espacios donde vivía el santo y murió. Hoy en día es el museo con la colección más completa de arte religioso en la costa colombiana y el edificio conserva el espíritu de Claver el espíritu de los Derechos Humanos.,< 1 hora,Carrera 4 # 30-01 Cartagena 130002 Colombia
4. Barrio Getsemani,https://www.tripadvisor.co/Attraction_Review-g297476-d10300403-Reviews-Barrio_Getsemani-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Barrio Getsemani,,Más de 3 horas,
5. Caribe Jewelry Museum & Factory,https://www.tripadvisor.co/Attraction_Review-g297476-d5984768-Reviews-Caribe_Jewelry_Museum_Factory-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Caribe Jewelry Museum & Factory,,1-2 horas,Bocagrande Calle 5 No 2-51 Cartagena 130012 Colombia
6. Cerro de La Popa,https://www.tripadvisor.co/Attraction_Review-g297476-d2421858-Reviews-La_Popa_Convent-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Cerro de La Popa,,< 1 hora,
7. Plaza de Bolívar,https://www.tripadvisor.co/Attraction_Review-g297476-d315405-Reviews-Plaza_de_Bolivar-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Plaza de Bolívar,,,
8. Plaza Santo Domingo,https://www.tripadvisor.co/Attraction_Review-g297476-d2515005-Reviews-Plaza_Santo_Domingo-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Plaza Santo Domingo,,,Calle 35 Cartagena 130010 Colombia
9. Museo del Oro Zenú,https://www.tripadvisor.co/Attraction_Review-g297476-d2042530-Reviews-Museo_del_Oro_Zenu-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Museo del Oro Zenú,El Museo del Oro Zenú en Cartagena es parte de la red del Museo del Oro del Banco de la República de Colombia. Preserva y exhibe las obras de orfebrería y cerámica de los antiguos zenúes que mediante colosales obras de ingeniería hidráulica vivieron hace dos milenios en las llanuras del Caribe colombiano y destaca la cultura y tradiciones de los actuales zenúes.,< 1 hora,Plaza de Bolívar Centro de la ciudad amurallada Cartagena 130001 Colombia
10. Torre del Reloj,https://www.tripadvisor.co/Attraction_Review-g297476-d8647408-Reviews-Torre_del_Reloj-Cartagena_Cartagena_District_Bolivar_Department.html,Cartagena,Torre del Reloj,,,Carrera 7 Cartagena 130002 Colombia
