,name,url,city,title,description,duration,location
0,2022,https://www.tripadvisor.co/Attraction_Review-g297478-d2203325-Reviews-Medellin_Metrocable-Medellin_Antioquia_Department.html,,,,,
1,1. Medellin Metrocable,https://www.tripadvisor.co/Attraction_Review-g297478-d2203325-Reviews-Medellin_Metrocable-Medellin_Antioquia_Department.html,,,,,
2,2022,https://www.tripadvisor.co/Attraction_Review-g297478-d12144209-Reviews-Museum_Pablo_Escobar-Medellin_Antioquia_Department.html,Medellin,Museo Pablo Escobar,Conozca de Primera fuente el perfil del histórico Pablo Escobar Gaviria para disfrutar de esto como una gran experiencia abra su mente y corazón libérese de prejuicios y permita que un gran mensaje llegue a su vida para que impacte su entorno. La historia que ya está escrita fue vivida en carne propia por Pablo Escobar y su familia y es directamente eso lo que usted conocerá. En el museo reposan artículos personales de Pablo mediante los cuales se dejan ver sus grandes pasiones.,1-2 horas,Calle 10 b # 28-90 Barrio El Poblado Lomas 2. Medellín 050021 Colombia
3,2. Museo Pablo Escobar,https://www.tripadvisor.co/Attraction_Review-g297478-d12144209-Reviews-Museum_Pablo_Escobar-Medellin_Antioquia_Department.html,Medellin,Museo Pablo Escobar,Conozca de Primera fuente el perfil del histórico Pablo Escobar Gaviria para disfrutar de esto como una gran experiencia abra su mente y corazón libérese de prejuicios y permita que un gran mensaje llegue a su vida para que impacte su entorno. La historia que ya está escrita fue vivida en carne propia por Pablo Escobar y su familia y es directamente eso lo que usted conocerá. En el museo reposan artículos personales de Pablo mediante los cuales se dejan ver sus grandes pasiones.,1-2 horas,Calle 10 b # 28-90 Barrio El Poblado Lomas 2. Medellín 050021 Colombia
4,2022,https://www.tripadvisor.co/Attraction_Review-g297478-d2197433-Reviews-Parque_Explora-Medellin_Antioquia_Department.html,Medellin,Parque Explora,Somos un parque de ciencia y tecnología un acuario un planetario. Somos espacios versátiles escenarios memorables ubicados bajo el agua al borde del universo y en salas premiadas nacional e internacionalmente por sus experiencias poco convencionales que permiten vivir el significado más profundo y verdadero de la innovación. Pero más que una obra física somos una idea en expansión con vigorosa vida fuera del Parque pues desde hace un tiempo nuestros dominios se extendieron a otros barrios de la ciudad e incluso a otros municipios de Antioquia a través de talleres procesos comunitarios y experiencias itinerantes como el Exploramóvil.,2-3 horas,Carrera 52 73-75 Al frente de la Estación Universidad del Metro. Medellín 050010 Colombia
5,3. Parque Explora,https://www.tripadvisor.co/Attraction_Review-g297478-d2197433-Reviews-Parque_Explora-Medellin_Antioquia_Department.html,Medellin,Parque Explora,Somos un parque de ciencia y tecnología un acuario un planetario. Somos espacios versátiles escenarios memorables ubicados bajo el agua al borde del universo y en salas premiadas nacional e internacionalmente por sus experiencias poco convencionales que permiten vivir el significado más profundo y verdadero de la innovación. Pero más que una obra física somos una idea en expansión con vigorosa vida fuera del Parque pues desde hace un tiempo nuestros dominios se extendieron a otros barrios de la ciudad e incluso a otros municipios de Antioquia a través de talleres procesos comunitarios y experiencias itinerantes como el Exploramóvil.,2-3 horas,Carrera 52 73-75 Al frente de la Estación Universidad del Metro. Medellín 050010 Colombia
6,2022,https://www.tripadvisor.co/Attraction_Review-g297478-d3776131-Reviews-Laguna_de_Guatape-Medellin_Antioquia_Department.html,,Laguna de Guatape,,,
7,4. Laguna de Guatape,https://www.tripadvisor.co/Attraction_Review-g297478-d3776131-Reviews-Laguna_de_Guatape-Medellin_Antioquia_Department.html,,Laguna de Guatape,,,
8,5. Museo de Antioquía,https://www.tripadvisor.co/Attraction_Review-g297478-d650865-Reviews-Museo_de_Antioquia-Medellin_Antioquia_Department.html,,,,,
9,Ver boletos,https://www.tripadvisor.co/Attraction_Review-g297478-d650865-Reviews-Museo_de_Antioquia-Medellin_Antioquia_Department.html#SHOW_TICKETS,,,,,
