name,url,city,title,description,duration,location
1. Medellin Metrocable,https://www.tripadvisor.co/Attraction_Review-g297478-d2203325-Reviews-Medellin_Metrocable-Medellin_Antioquia_Department.html,Medellin,Medellin Metrocable,,,
2. Museo Pablo Escobar,https://www.tripadvisor.co/Attraction_Review-g297478-d12144209-Reviews-Museum_Pablo_Escobar-Medellin_Antioquia_Department.html,Medellin,Museo Pablo Escobar,Conozca de Primera fuente el perfil del histórico Pablo Escobar Gaviria para disfrutar de esto como una gran experiencia abra su mente y corazón libérese de prejuicios y permita que un gran mensaje llegue a su vida para que impacte su entorno. La historia que ya está escrita fue vivida en carne propia por Pablo Escobar y su familia y es directamente eso lo que usted conocerá. En el museo reposan artículos personales de Pablo mediante los cuales se dejan ver sus grandes pasiones.,1-2 horas,Calle 10 b # 28-90 Barrio El Poblado Lomas 2. Medellín 050021 Colombia
3. Parque Explora,https://www.tripadvisor.co/Attraction_Review-g297478-d2197433-Reviews-Parque_Explora-Medellin_Antioquia_Department.html,Medellin,Parque Explora,Somos un parque de ciencia y tecnología un acuario un planetario. Somos espacios versátiles escenarios memorables ubicados bajo el agua al borde del universo y en salas premiadas nacional e internacionalmente por sus experiencias poco convencionales que permiten vivir el significado más profundo y verdadero de la innovación. Pero más que una obra física somos una idea en expansión con vigorosa vida fuera del Parque pues desde hace un tiempo nuestros dominios se extendieron a otros barrios de la ciudad e incluso a otros municipios de Antioquia a través de talleres procesos comunitarios y experiencias itinerantes como el Exploramóvil.,2-3 horas,Carrera 52 73-75 Al frente de la Estación Universidad del Metro. Medellín 050010 Colombia
4. Laguna de Guatape,https://www.tripadvisor.co/Attraction_Review-g297478-d3776131-Reviews-Laguna_de_Guatape-Medellin_Antioquia_Department.html,Medellin,Laguna de Guatape,,Más de 3 horas,
5. Museo de Antioquía,https://www.tripadvisor.co/Attraction_Review-g297478-d650865-Reviews-Museo_de_Antioquia-Medellin_Antioquia_Department.html,Medellin,Museo de Antioquía,,,
Ver boletos,https://www.tripadvisor.co/Attraction_Review-g297478-d650865-Reviews-Museo_de_Antioquia-Medellin_Antioquia_Department.html#SHOW_TICKETS,Medellin,Museo de Antioquía,,,
6. Metro de Medellin,https://www.tripadvisor.co/Attraction_Review-g297478-d8154333-Reviews-Metro_de_Medellin-Medellin_Antioquia_Department.html,Medellin,Metro de Medellin,,,
7. Pueblito Paisa,https://www.tripadvisor.co/Attraction_Review-g297478-d650877-Reviews-Pueblito_Paisa-Medellin_Antioquia_Department.html,Medellin,Pueblito Paisa,,,Tunel av nutibara Medellín 050030 Colombia
8. Jardín Botánico de Medellín,https://www.tripadvisor.co/Attraction_Review-g297478-d1943531-Reviews-Jardin_Botanico_de_Medellin-Medellin_Antioquia_Department.html,Medellin,Jardín Botánico de Medellín,,2-3 horas,Calle 73 51d 14 Carrera 52 # 73-298 Medellín 050010 Colombia
9. Plaza Botero,https://www.tripadvisor.co/Attraction_Review-g297478-d1994585-Reviews-Plaza_Botero-Medellin_Antioquia_Department.html,Medellin,Plaza Botero,,,
