name,url,city,title,description,duration,location
1. Zoologico de Cali,https://www.tripadvisor.co/Attraction_Review-g297475-d1117013-Reviews-Zoologico_de_Cali-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Zoologico de Cali,En el Zoológico de Cali creamos experiencias inolvidables para contagiar nuestra pasión por la vida.,Incluye animalesObtén más información sobre el bienestar animal en el turismo,
2. Bosque El Descanso,https://www.tripadvisor.co/Attraction_Review-g297475-d21369888-Reviews-Bosque_El_Descanso-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Bosque El Descanso,“Bosque el Descanso” es una joya dentro la geografía del territorio Colombiano un lugar exótico ubicado en el departamento del valle del cauca. Si eres amante de la naturaleza si te apasiona lo verde de las montañas  si amas una aventura entre cascadas y una caminata por senderos ecológicos trae alegría a tu corazón? entonces este es el lugar perfecto para ti!,Más de 3 horas,
3. Gato de Tejada,https://www.tripadvisor.co/Attraction_Review-g297475-d1998292-Reviews-Gato_de_Tejada-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Gato de Tejada,,,
4. Caliwood Museo de la Cinematografía,https://www.tripadvisor.co/Attraction_Review-g297475-d3248613-Reviews-Caliwood_Museo_de_la_Cinematografia-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Caliwood Museo de la Cinematografía,CALIWOOD el Museo de Cinematografía está ubicado en Cali. En el sitio encontrarás una colección de artefactos relacionados con la evolución tecnológica de los equipos fotográficos y cinematográficos análogos fabricados desde principios del siglo XIX y hasta 1980 complementado lo anterior con los accesorios y los objetos utilizados en los teatros de barrio desde cuando empezaron a ser construidos en Cali a principios del siglo XX. CALIWOOD proyecta diariamente a cada usuario películas en celuloide y todos los visitantes reciben una pequeña pieza de película como recuerdo.,1-2 horas,
5. Cristo Rey,https://www.tripadvisor.co/Attraction_Review-g297475-d2513557-Reviews-Cristo_Rey-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Cristo Rey,,,
6. Museo de la Caña de Azucar,https://www.tripadvisor.co/Attraction_Review-g297475-d1972294-Reviews-Museo_de_la_Cana_de_Azucar-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Museo de la Caña de Azucar,,,
7. Barrio San Antonio,https://www.tripadvisor.co/Attraction_Review-g297475-d8858142-Reviews-Barrio_San_Antonio-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Barrio San Antonio,,,
8. Iglesia La Ermita,https://www.tripadvisor.co/Attraction_Review-g297475-d3281886-Reviews-Iglesia_La_Ermita-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Iglesia La Ermita,,,
9. Pance River,https://www.tripadvisor.co/Attraction_Review-g297475-d3539297-Reviews-Pance_River-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Pance River,,,
10. Iglesia de San Antonio,https://www.tripadvisor.co/Attraction_Review-g297475-d1967820-Reviews-Iglesia_de_San_Antonio-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Iglesia de San Antonio,,,
11. Ecoparque de las Garzas,https://www.tripadvisor.co/Attraction_Review-g297475-d4915132-Reviews-Ecoparque_de_las_Garzas-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Ecoparque de las Garzas,,Incluye animalesObtén más información sobre el bienestar animal en el turismo,
12. Parque del Perro,https://www.tripadvisor.co/Attraction_Review-g297475-d8863765-Reviews-Parque_del_Perro-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Parque del Perro,,,
13. Museo de Arte Colonial y Religioso La Merced,https://www.tripadvisor.co/Attraction_Review-g297475-d6369687-Reviews-Museo_de_Arte_Colonial_y_Religioso_La_Merced-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Museo de Arte Colonial y Religioso La Merced,,1-2 horas,Carrera 4 No 6-117 Cali 760045 Colombia
14. Ruta Turística MIO Cable,https://www.tripadvisor.co/Attraction_Review-g297475-d10202933-Reviews-Ruta_Turistica_MIO_Cable-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Ruta Turística MIO Cable,El Sistema de Transporte Aero suspendido MIO Cable es un proyecto de integración social de las áreas de ladera del Municipio de Santiago de Cali específicamente desarrollado en la Comuna 20; en aras de solucionar los problemas de accesibilidad al servicio de transporte público. Es un medio de transporte urbano que consiste en un sistema teleférico cuenta con noventa (90) cabinas suspendidas a las que los usuarios podrán acceder a través de cuatro (4) estaciones; las cuales son Estación Cañaveralejo Tierra Blanca Lleras Camargo y Brisas de Mayo. Tiene un recorrido de 2.08 km que se recorre en aproximadamente 14 minutos con una frecuencia máxima de 300 cabinas por hora y una capacidad máxima de 3.000 pasajeros por hora. Te invitamos a conocer nuestra Ruta Turística en el MIO Cable contamos con la mejor vista panorámica de la ciudad.,2-3 horas,Calle 5 Terminal Cañaveralejo Cali 760035 Colombia
15. Parque Artesanal Loma de la Cruz,https://www.tripadvisor.co/Attraction_Review-g297475-d7717638-Reviews-Parque_Artesanal_Loma_de_la_Cruz-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Parque Artesanal Loma de la Cruz,,,
16. Cerro de Las Tres Cruces,https://www.tripadvisor.co/Attraction_Review-g297475-d4744502-Reviews-Cerro_de_Las_Tres_Cruces-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Cerro de Las Tres Cruces,,,
17. MUSA Museo Arqueológico,https://www.tripadvisor.co/Attraction_Review-g297475-d1997858-Reviews-MUSA_Museo_Arqueologico-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,MUSA Museo Arqueológico,MUSA alberga la más grande y diversa colección de piezas cerámicas precolombinas en Colombia las cuales se encuentran exhibidas en sus sedes de Bogotá y Cali. La colección del museo muestra no solamente la variedad estética de los pueblos precolombinos sino también sirve como ventana para investigar sus sofisticadas formas de entender y de explicarse la vida la muerte y el mundo. Hoy en día cuenta con trece mil objetos que representan las principales culturas que habitaron el territorio nacional: Tairona Muisca Guane Quimbaya Calima Nariño Sinú Tumaco San Agustín Tierradentro entre otras.,< 1 hora,Carrera 4 6 59 Cali 760044 Colombia
18. Estadio Olímpico Pascual Guerrero de Cali,https://www.tripadvisor.co/Attraction_Review-g297475-d7723536-Reviews-Estadio_Olimpico_Pascual_Guerrero_de_Cali-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Estadio Olímpico Pascual Guerrero de Cali,,,
19. Galería Alameda,https://www.tripadvisor.co/Attraction_Review-g297475-d9697410-Reviews-Galeria_Alameda-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Galería Alameda,,2-3 horas,
20. Biblioteca Departamental Jorge Garcés Borrero,https://www.tripadvisor.co/Attraction_Review-g297475-d3748379-Reviews-Biblioteca_Departamental_Jorge_Garces_Borrero-Cali_Valle_del_Cauca_Department.html,ValleDelCauca,Biblioteca Departamental Jorge Garcés Borrero,La Biblioteca Departamental Jorge Garcés Borrero es un establecimiento público del departamento del Valle del Cauca creado como entidad descentralizada que busca contribuir a la apropiación social de la ciencia la tecnología y las artes a través de la promoción de la identidad y la diversidad cultural conservando y difundiendo el patrimonio del Valle del Cauca.,Sugiere ediciones para mejorar lo que mostramos.Mejorar este perfil,Calle 5 # 24A-91 Cali 760001-760099 Colombia
